dateTime,close
2017-08-17 00-00-00,302.00000000
2017-08-18 00-00-00,293.96000000
2017-08-19 00-00-00,290.91000000
2017-08-20 00-00-00,299.10000000
2017-08-21 00-00-00,323.29000000
2017-08-22 00-00-00,309.80000000
2017-08-23 00-00-00,315.74000000
2017-08-24 00-00-00,323.42000000
2017-08-25 00-00-00,327.24000000
2017-08-26 00-00-00,330.79000000
2017-08-27 00-00-00,348.13000000
2017-08-28 00-00-00,346.00000000
2017-08-29 00-00-00,374.70000000
2017-08-30 00-00-00,385.93000000
2017-08-31 00-00-00,384.79000000
2017-09-01 00-00-00,388.46000000
2017-09-02 00-00-00,343.14000000
2017-09-03 00-00-00,341.77000000
2017-09-04 00-00-00,283.77000000
2017-09-05 00-00-00,312.09000000
2017-09-06 00-00-00,335.00000000
2017-09-07 00-00-00,334.49000000
2017-09-08 00-00-00,302.99000000
2017-09-09 00-00-00,296.74000000
2017-09-10 00-00-00,293.50000000
2017-09-11 00-00-00,297.30000000
2017-09-12 00-00-00,293.96000000
2017-09-13 00-00-00,276.91000000
2017-09-14 00-00-00,215.21000000
2017-09-15 00-00-00,253.00000000
2017-09-16 00-00-00,249.31000000
2017-09-17 00-00-00,257.55000000
2017-09-18 00-00-00,294.57000000
2017-09-19 00-00-00,284.00000000
2017-09-20 00-00-00,282.00000000
2017-09-21 00-00-00,257.00000000
2017-09-22 00-00-00,264.00000000
2017-09-23 00-00-00,285.93000000
2017-09-24 00-00-00,282.00000000
2017-09-25 00-00-00,294.42000000
2017-09-26 00-00-00,287.90000000
2017-09-27 00-00-00,309.74000000
2017-09-28 00-00-00,302.44000000
2017-09-29 00-00-00,292.22000000
2017-09-30 00-00-00,304.36000000
2017-10-01 00-00-00,303.95000000
2017-10-02 00-00-00,296.50000000
2017-10-03 00-00-00,292.48000000
2017-10-04 00-00-00,291.99000000
2017-10-05 00-00-00,294.81000000
2017-10-06 00-00-00,310.80000000
2017-10-07 00-00-00,311.01000000
2017-10-08 00-00-00,311.07000000
2017-10-09 00-00-00,297.19000000
2017-10-10 00-00-00,298.64000000
2017-10-11 00-00-00,304.01000000
2017-10-12 00-00-00,303.99000000
2017-10-13 00-00-00,337.96000000
2017-10-14 00-00-00,342.00000000
2017-10-15 00-00-00,337.96000000
2017-10-16 00-00-00,335.19000000
2017-10-17 00-00-00,315.19000000
2017-10-18 00-00-00,309.70000000
2017-10-19 00-00-00,308.66000000
2017-10-20 00-00-00,304.51000000
2017-10-21 00-00-00,298.94000000
2017-10-22 00-00-00,293.79000000
2017-10-23 00-00-00,281.09000000
2017-10-24 00-00-00,297.38000000
2017-10-25 00-00-00,294.49000000
2017-10-26 00-00-00,294.71000000
2017-10-27 00-00-00,296.33000000
